subject,datavyu_bin,onset,offset,who_relation,placed_object,base_object,base_coder,Notes,,,,,,,,,,,,,,,,
30mosub03,7,35000,39999,child_in,6,27,JH,should be bin 8 (all bins +1),,,,,,,,,,,,,,,,
30mosub03,7,35000,39999,child_in,19,27,JH,,,,,,,,,,,,,,,,,
30mosub03,10,50000,54999,child_in,6,33,JH,,,,,,,,,,,,,,,,,
30mosub03,51,255000,259999,child_on,12,,JH,No SR,,,,,,,,,,,,,,,,
30mosub03,51,255000,259999,parent_on,12,12,JH,,,,,,,,,,,,,,,,,
30mosub03,61,305000,309999,child_in,10,17,JH,,,,,,,,,,,,,,,,,
30mosub03,84,420000,424999,child_on,5,10,JH,,,,,,,,,,,,,,,,,
30mosub03,86,430000,434999,child_on,12,12,JH,parent makes on with 12 instead (changed from initial 10),,,,,,,,,,,,,,,,
30mosub03,91,455000,459999,child_in,21,17,JH,,,,,,,,,,,,,,,,,
30mosub03,91,455000,459999,parent_in,21,17,JH,,,,,,,,,,,,,,,,,
30mosub03,122,610000,614999,child_in,4,17,JH,,,,,,,,,,,,,,,,,
30mosub03,126,630000,634999,child_on,5,23,JH,,,,,,,,,,,,,,,,,
30mosub03,127,635000,639999,child_in,4,17,JH,,,,,,,,,,,,,,,,,
30mosub03,139,695000,699999,child_in,4,17,JH,,,,,,,,,,,,,,,,,
30mosub04,12,60000,64999,child_on,12,12,JH,,,,,,,,,,,,,,,,,
30mosub04,16,80000,84999,child_on,12,12,JH,,,,,,,,,,,,,,,,,
30mosub04,18,90000,94999,child_on,29,12,JH,child hits the hammer on object 12 (no on?),,,,,,,,,,,,,,,,
30mosub04,19,95000,99999,child_on,29,12,JH,,,,,,,,,,,,,,,,,
30mosub04,20,100000,104999,child_on,29,12,JH,,,,,,,,,,,,,,,,,
30mosub04,21,105000,109999,child_on,29,12,JH,,,,,,,,,,,,,,,,,
30mosub04,37,185000,189999,child_on,10,,JH,No SR,,,,,,,,,,,,,,,,
30mosub04,49,245000,249999,child_on,13,10,JH,child links big bird and bert together (no on?),,,,,,,,,,,,,,,,
30mosub04,50,250000,254999,child_on,13,10,JH,,,,,,,,,,,,,,,,,
30mosub04,50,250000,254999,parent_on,13,10,JH,,,,,,,,,,,,,,,,,
30mosub04,52,260000,264999,child_on,13,10,JH,,,,,,,,,,,,,,,,,
30mosub04,53,265000,269999,child_on,13,10,JH,,,,,,,,,,,,,,,,,
30mosub04,61,305000,309999,parent_in,11,17,JH,,,,,,,,,,,,,,,,,
30mosub04,68,340000,344999,child_in,8,27,JH,,,,,,,,,,,,,,,,,
30mosub04,69,345000,349999,parent_in,24,27,JH,,,,,,,,,,,,,,,,,
30mosub04,71,355000,359999,child_in,24,27,JH,,,,,,,,,,,,,,,,,
30mosub04,74,370000,374999,parent_on,5,23,JH,,,,,,,,,,,,,,,,,
30mosub04,77,385000,389999,child_on,4,23,JH,,,,,,,,,,,,,,,,,
30mosub04,78,390000,394999,child_on,5,23,JH,,,,,,,,,,,,,,,,,
30mosub04,83,415000,419999,parent_on,11,4,JH,,,,,,,,,,,,,,,,,
30mosub04,93,465000,469999,child_on,5,4,JH,,,,,,,,,,,,,,,,,
30mosub04,126,630000,634999,child_on,13,10,JH,child links big bird and bert together (no on?),,,,,,,,,,,,,,,,
30mosub04,127,635000,639999,child_on,13,10,JH,,,,,,,,,,,,,,,,,
30mosub04,130,650000,654999,child_on,13,10,JH,,,,,,,,,,,,,,,,,
30mosub05,7,35000,39999,parent_on,18,20,JH,,,,,,,,,,,,,,,,,
30mosub05,15,75000,79999,child_on,12,,JH,No SR,,,,,,,,,,,,,,,,
30mosub05,15,75000,79999,parent_on,12,,JH,No SR,,,,,,,,,,,,,,,,
30mosub05,20,100000,104999,child_on,12,12,JH,,,,,,,,,,,,,,,,,
30mosub05,25,125000,129999,child_on,18,7,JH,,,,,,,,,,,,,,,,,
